explanation_rank,id,churn_probability,risk_level,primary_threshold,above_primary_threshold,actual_churn,top_positive_drivers,top_negative_drivers,explanation_scope,interpretation_note
26,11021,0.976435,Very High,0.1,True,1,1. total_activity_8 (SHAP +2.0641; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9620; value 21.3227; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9094; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.3747; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3457; value 0.0000; Risk-increasing contribution),1. std_ic_mou_std_6_8 (SHAP -0.0646; value 0.0000; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0566; value 30.1548; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0538; value 0.0000; Risk-reducing contribution) | 4. total_activity_pct_change_7_to_8 (SHAP -0.0529; value -0.0297; Risk-reducing contribution) | 5. total_activity_6 (SHAP -0.0480; value 154.5600; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
27,52296,0.975548,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8345; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9670; value 29.8473; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9282; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4356; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2623; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0560; value 0.0000; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0421; value -0.0297; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0414; value 36.4991; Risk-reducing contribution) | 4. voice_rech_recency_7 (SHAP -0.0324; value 8.0000; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0320; value 0.9428; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
28,47394,0.973882,Very High,0.1,True,1,1. total_activity_8 (SHAP +2.0007; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9420; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9107; value 30.3447; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4198; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3477; value 0.0000; Risk-increasing contribution),1. aon (SHAP -0.1991; value 3560.0000; Risk-reducing contribution) | 2. loc_ic_t2f_mou_6 (SHAP -0.1127; value 44.1300; Risk-reducing contribution) | 3. recharge_count_std_6_8 (SHAP -0.0555; value 0.9428; Risk-reducing contribution) | 4. total_activity_6 (SHAP -0.0540; value 346.2000; Risk-reducing contribution) | 5. total_activity_pct_change_7_to_8 (SHAP -0.0513; value -0.0297; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
29,58055,0.973098,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8514; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9315; value 0.0000; Risk-increasing contribution) | 3. total_ic_mou_min_6_8 (SHAP +0.4068; value 0.0000; Risk-increasing contribution) | 4. total_rech_num_7 (SHAP +0.3883; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2717; value 0.0000; Risk-increasing contribution),1. total_activity_pct_change_7_to_8 (SHAP -0.0508; value -0.0297; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0460; value 0.0000; Risk-reducing contribution) | 3. roam_ic_mou_8 (SHAP -0.0221; value 0.0000; Risk-reducing contribution) | 4. spl_og_mou_7 (SHAP -0.0165; value 0.0000; Risk-reducing contribution) | 5. arpu_8 (SHAP -0.0162; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
30,66390,0.973029,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8263; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9607; value 37.8437; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9380; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4359; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2826; value 0.0000; Risk-increasing contribution),1. max_rech_amt_7 (SHAP -0.0880; value 124.0000; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0598; value 48.2245; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0535; value 0.0000; Risk-reducing contribution) | 4. total_activity_pct_change_7_to_8 (SHAP -0.0371; value -0.0297; Risk-reducing contribution) | 5. roam_ic_mou_8 (SHAP -0.0309; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
31,64741,0.972092,Very High,0.1,True,1,1. total_activity_8 (SHAP +2.0376; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9594; value 16.6067; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.8964; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.3945; value 0.0000; Risk-increasing contribution) | 5. last_day_rch_amt_8 (SHAP +0.2910; value 0.0000; Risk-increasing contribution),1. recharge_count_std_6_8 (SHAP -0.0644; value 0.0000; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0585; value 23.4854; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0568; value 0.0000; Risk-reducing contribution) | 4. loc_og_t2f_mou_6 (SHAP -0.0544; value 3.5100; Risk-reducing contribution) | 5. total_activity_pct_change_7_to_8 (SHAP -0.0515; value -0.0297; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
32,51964,0.97138,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8513; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.8969; value 0.0000; Risk-increasing contribution) | 3. total_ic_mou_min_6_8 (SHAP +0.4255; value 0.0000; Risk-increasing contribution) | 4. total_rech_num_7 (SHAP +0.3832; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2723; value 0.0000; Risk-increasing contribution),1. total_activity_pct_change_7_to_8 (SHAP -0.0487; value -0.0297; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0410; value 0.0000; Risk-reducing contribution) | 3. roam_ic_mou_8 (SHAP -0.0219; value 0.0000; Risk-reducing contribution) | 4. arpu_8 (SHAP -0.0173; value 0.0000; Risk-reducing contribution) | 5. isd_ic_mou_8 (SHAP -0.0169; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
33,13662,0.97006,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8918; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9551; value 0.0000; Risk-increasing contribution) | 3. total_ic_mou_min_6_8 (SHAP +0.4342; value 0.0000; Risk-increasing contribution) | 4. total_rech_num_7 (SHAP +0.4008; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2861; value 0.0000; Risk-increasing contribution),1. aon (SHAP -0.0589; value 2031.0000; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0478; value -0.0297; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0436; value 0.0000; Risk-reducing contribution) | 4. recharge_count_std_6_8 (SHAP -0.0332; value 2.3570; Risk-reducing contribution) | 5. roam_ic_mou_8 (SHAP -0.0222; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
34,55546,0.968407,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.9346; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.8577; value 29.0900; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.7424; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.2973; value 0.0000; Risk-increasing contribution) | 5. last_day_rch_amt_8 (SHAP +0.2902; value 0.0000; Risk-increasing contribution),1. arpu_std_6_8 (SHAP -0.0753; value 20.5721; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0606; value 0.0000; Risk-reducing contribution) | 3. recharge_count_std_6_8 (SHAP -0.0518; value 1.2472; Risk-reducing contribution) | 4. total_activity_6 (SHAP -0.0392; value 493.3000; Risk-reducing contribution) | 5. total_rech_num_7 (SHAP -0.0290; value 1.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
35,45116,0.968285,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8232; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9698; value 36.2243; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9300; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4262; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2625; value 0.0000; Risk-increasing contribution),1. max_rech_amt_7 (SHAP -0.1011; value 126.0000; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0620; value 51.1017; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0548; value 0.0000; Risk-reducing contribution) | 4. total_activity_pct_change_7_to_8 (SHAP -0.0413; value -0.0297; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0316; value 0.9428; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
36,57749,0.967785,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8937; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9684; value 0.0000; Risk-increasing contribution) | 3. total_ic_mou_min_6_8 (SHAP +0.4157; value 0.0000; Risk-increasing contribution) | 4. total_rech_num_7 (SHAP +0.3977; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.3040; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0515; value 0.0000; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0488; value -0.0297; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0454; value 59.3970; Risk-reducing contribution) | 4. arpu_avg_6_8 (SHAP -0.0278; value 42.0000; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0273; value 0.4714; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
37,7436,0.967631,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.9459; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9301; value 0.0000; Risk-increasing contribution) | 3. total_ic_mou_min_6_8 (SHAP +0.3813; value 0.0000; Risk-increasing contribution) | 4. voice_rech_recency_8 (SHAP +0.3227; value 27.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.2967; value 0.0000; Risk-increasing contribution),1. last_day_rch_amt_8 (SHAP -0.1478; value 498.0000; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0658; value -0.0297; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0631; value 0.0000; Risk-reducing contribution) | 4. total_rech_num_8 (SHAP -0.0323; value 1.0000; Risk-reducing contribution) | 5. max_rech_amt_8 (SHAP -0.0269; value 498.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
38,6247,0.967566,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.7418; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.7211; value 0.0000; Risk-increasing contribution) | 3. total_activity_pct_change_7_to_8 (SHAP +0.3273; value -1.0000; Risk-increasing contribution) | 4. last_day_rch_amt_8 (SHAP +0.3069; value 0.0000; Risk-increasing contribution) | 5. total_ic_mou_min_6_8 (SHAP +0.2736; value 0.0000; Risk-increasing contribution),1. loc_og_t2m_mou_6 (SHAP -0.1453; value 717.8300; Risk-reducing contribution) | 2. loc_ic_t2f_mou_6 (SHAP -0.0817; value 75.6900; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0484; value 0.0000; Risk-reducing contribution) | 4. loc_og_t2f_mou_6 (SHAP -0.0420; value 16.5300; Risk-reducing contribution) | 5. total_activity_6 (SHAP -0.0400; value 2553.0700; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
39,19134,0.96727,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8317; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9621; value 37.2670; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9285; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4276; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2815; value 0.0000; Risk-increasing contribution),1. max_rech_amt_7 (SHAP -0.1017; value 124.0000; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0629; value 49.2034; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0538; value 0.0000; Risk-reducing contribution) | 4. total_activity_pct_change_7_to_8 (SHAP -0.0395; value -0.0297; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0313; value 0.9428; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
40,11776,0.96702,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8966; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9626; value 0.0000; Risk-increasing contribution) | 3. total_ic_mou_min_6_8 (SHAP +0.4157; value 0.0000; Risk-increasing contribution) | 4. total_rech_num_7 (SHAP +0.3897; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2840; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0574; value 0.0000; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0474; value -0.0297; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0455; value 77.4411; Risk-reducing contribution) | 4. recharge_count_std_6_8 (SHAP -0.0448; value 0.4714; Risk-reducing contribution) | 5. arpu_avg_6_8 (SHAP -0.0330; value 57.5303; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
41,39652,0.966979,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.9595; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9448; value 0.0000; Risk-increasing contribution) | 3. total_ic_mou_min_6_8 (SHAP +0.3449; value 0.0000; Risk-increasing contribution) | 4. total_rech_num_7 (SHAP +0.2961; value 0.0000; Risk-increasing contribution) | 5. last_day_rch_amt_8 (SHAP +0.2934; value 0.0000; Risk-increasing contribution),1. total_activity_pct_change_7_to_8 (SHAP -0.0528; value -0.0297; Risk-reducing contribution) | 2. total_activity_6 (SHAP -0.0444; value 642.7900; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0430; value 0.0000; Risk-reducing contribution) | 4. loc_ic_mou_std_6_8 (SHAP -0.0408; value 0.0000; Risk-reducing contribution) | 5. arpu_recent_vs_baseline (SHAP -0.0360; value -84.6520; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
42,13629,0.966881,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.9067; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.8003; value 0.0000; Risk-increasing contribution) | 3. last_day_rch_amt_8 (SHAP +0.2897; value 0.0000; Risk-increasing contribution) | 4. total_rech_num_7 (SHAP +0.2826; value 0.0000; Risk-increasing contribution) | 5. total_ic_mou_min_6_8 (SHAP +0.2824; value 0.0000; Risk-increasing contribution),1. loc_ic_t2f_mou_6 (SHAP -0.0634; value 52.2300; Risk-reducing contribution) | 2. aon (SHAP -0.0619; value 2749.0000; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0503; value 0.0000; Risk-reducing contribution) | 4. arpu_avg_6_8 (SHAP -0.0323; value 106.0767; Risk-reducing contribution) | 5. total_og_mou_pct_change_7_to_8 (SHAP -0.0291; value -1.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
43,46936,0.96665,Very High,0.1,True,1,1. total_activity_8 (SHAP +2.0538; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9181; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9017; value 33.6353; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4058; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3128; value 0.0000; Risk-increasing contribution),1. aon (SHAP -0.1380; value 2371.0000; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0629; value 24.0231; Risk-reducing contribution) | 3. recharge_count_std_6_8 (SHAP -0.0624; value 1.4142; Risk-reducing contribution) | 4. std_ic_mou_std_6_8 (SHAP -0.0547; value 0.0000; Risk-reducing contribution) | 5. arpu_trend_score (SHAP -0.0493; value -2.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
44,46704,0.965395,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8936; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9667; value 0.0000; Risk-increasing contribution) | 3. total_ic_mou_min_6_8 (SHAP +0.4165; value 0.0000; Risk-increasing contribution) | 4. total_rech_num_7 (SHAP +0.3909; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2817; value 0.0000; Risk-increasing contribution),1. total_activity_pct_change_7_to_8 (SHAP -0.0549; value -0.0297; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0512; value 0.0000; Risk-reducing contribution) | 3. arpu_avg_6_8 (SHAP -0.0422; value 68.2167; Risk-reducing contribution) | 4. recharge_count_std_6_8 (SHAP -0.0326; value 0.4714; Risk-reducing contribution) | 5. roam_ic_mou_8 (SHAP -0.0229; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
45,45646,0.964923,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8979; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9690; value 0.0000; Risk-increasing contribution) | 3. total_ic_mou_min_6_8 (SHAP +0.4155; value 0.0000; Risk-increasing contribution) | 4. total_rech_num_7 (SHAP +0.3916; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2861; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0518; value 0.0000; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0505; value -0.0297; Risk-reducing contribution) | 3. arpu_avg_6_8 (SHAP -0.0404; value 67.6667; Risk-reducing contribution) | 4. recharge_count_std_6_8 (SHAP -0.0294; value 2.3570; Risk-reducing contribution) | 5. arpu_std_6_8 (SHAP -0.0288; value 95.6951; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
46,4855,0.964761,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8364; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9606; value 35.8127; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9337; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4291; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2598; value 0.0000; Risk-increasing contribution),1. max_rech_amt_7 (SHAP -0.0934; value 120.0000; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0639; value 50.6468; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0544; value 0.0000; Risk-reducing contribution) | 4. total_activity_pct_change_7_to_8 (SHAP -0.0350; value -0.0297; Risk-reducing contribution) | 5. roam_ic_mou_8 (SHAP -0.0301; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
47,39214,0.964535,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8602; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9693; value 28.1830; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.7471; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.3319; value 0.0000; Risk-increasing contribution) | 5. last_day_rch_amt_8 (SHAP +0.2404; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0711; value 0.0000; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0627; value 36.3786; Risk-reducing contribution) | 3. roam_ic_mou_8 (SHAP -0.0365; value 0.0000; Risk-reducing contribution) | 4. recharge_count_std_6_8 (SHAP -0.0359; value 0.4714; Risk-reducing contribution) | 5. std_ic_mou_std_6_8 (SHAP -0.0340; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
48,5706,0.961494,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8163; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9031; value 0.0000; Risk-increasing contribution) | 3. total_ic_mou_min_6_8 (SHAP +0.4433; value 0.0000; Risk-increasing contribution) | 4. total_rech_num_7 (SHAP +0.3363; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.3103; value 0.0000; Risk-increasing contribution),1. total_activity_pct_change_7_to_8 (SHAP -0.0515; value -0.0297; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0492; value 0.0000; Risk-reducing contribution) | 3. recharge_count_recent_vs_baseline_pct (SHAP -0.0389; value -0.0769; Risk-reducing contribution) | 4. recharge_count_std_6_8 (SHAP -0.0377; value 0.0000; Risk-reducing contribution) | 5. roam_ic_mou_8 (SHAP -0.0226; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
49,11668,0.961331,Very High,0.1,True,1,1. total_activity_8 (SHAP +2.0356; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.8480; value 0.0000; Risk-increasing contribution) | 3. total_ic_mou_min_6_8 (SHAP +0.3761; value 0.0000; Risk-increasing contribution) | 4. total_rech_num_7 (SHAP +0.2904; value 0.0000; Risk-increasing contribution) | 5. last_day_rch_amt_8 (SHAP +0.2705; value 0.0000; Risk-increasing contribution),1. total_activity_pct_change_7_to_8 (SHAP -0.0552; value -0.0297; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0549; value 0.0000; Risk-reducing contribution) | 3. total_activity_6 (SHAP -0.0410; value 910.7100; Risk-reducing contribution) | 4. std_ic_mou_std_6_8 (SHAP -0.0269; value 0.0000; Risk-reducing contribution) | 5. roam_ic_mou_8 (SHAP -0.0232; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
50,5832,0.961185,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8089; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.8923; value 0.0000; Risk-increasing contribution) | 3. total_ic_mou_min_6_8 (SHAP +0.4386; value 0.0000; Risk-increasing contribution) | 4. total_rech_num_7 (SHAP +0.3097; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2840; value 0.0000; Risk-increasing contribution),1. total_activity_pct_change_7_to_8 (SHAP -0.0541; value -0.0297; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0490; value 0.0000; Risk-reducing contribution) | 3. recharge_count_std_6_8 (SHAP -0.0378; value 0.0000; Risk-reducing contribution) | 4. recharge_count_recent_vs_baseline_pct (SHAP -0.0349; value -0.0769; Risk-reducing contribution) | 5. roam_ic_mou_8 (SHAP -0.0231; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
