feature_1,feature_2,abs_spearman_correlation
isd_ic_mou_8_missing,roam_ic_mou_8_missing,1.0
isd_ic_mou_8_missing,offnet_mou_8_missing,1.0
isd_ic_mou_8_missing,onnet_mou_8_missing,1.0
spl_ic_mou_8_missing,std_ic_mou_8_missing,1.0
spl_ic_mou_8_missing,std_ic_t2o_mou_8_missing,1.0
count_rech_2g_7_missing,av_rech_amt_data_7_missing,1.0
no_recharge_count_7,date_of_last_rech_7_missing,1.0
no_recharge_count_6,date_of_last_rech_6_missing,1.0
recharge_value_per_transaction_8,avg_recharge_amt_8,1.0
fb_user_7_missing,date_of_last_rech_data_7_missing,1.0
fb_user_6_missing,count_rech_3g_6_missing,1.0
fb_user_6_missing,count_rech_2g_6_missing,1.0
fb_user_6_missing,av_rech_amt_data_6_missing,1.0
fb_user_6_missing,date_of_last_rech_data_6_missing,1.0
count_rech_3g_8_missing,count_rech_2g_8_missing,1.0
count_rech_3g_8_missing,av_rech_amt_data_8_missing,1.0
count_rech_3g_8_missing,date_of_last_rech_data_8_missing,1.0
count_rech_3g_7_missing,count_rech_2g_7_missing,1.0
count_rech_3g_7_missing,av_rech_amt_data_7_missing,1.0
count_rech_3g_7_missing,date_of_last_rech_data_7_missing,1.0
count_rech_3g_6_missing,count_rech_2g_6_missing,1.0
count_rech_3g_6_missing,av_rech_amt_data_6_missing,1.0
count_rech_3g_6_missing,date_of_last_rech_data_6_missing,1.0
count_rech_2g_8_missing,av_rech_amt_data_8_missing,1.0
count_rech_2g_8_missing,date_of_last_rech_data_8_missing,1.0
isd_og_mou_max_6_8,isd_og_mou_avg_6_8,0.9999800381902012
isd_ic_mou_max_6_8,isd_ic_mou_avg_6_8,0.9997129523507261
roam_ic_mou_max_6_8,roam_ic_mou_avg_6_8,0.9993477912225136
roam_og_mou_max_6_8,roam_og_mou_avg_6_8,0.9993297304492561
vol_2g_mb_max_6_8,vol_2g_mb_avg_6_8,0.9992843625168134
vol_3g_mb_max_6_8,vol_3g_mb_avg_6_8,0.9991937412646131
vol_2g_mb_std_6_8,vol_2g_mb_max_6_8,0.9984447020695011
vol_3g_mb_std_6_8,vol_3g_mb_max_6_8,0.9974004765409593
vol_2g_mb_std_6_8,vol_2g_mb_avg_6_8,0.9962738077781526
std_og_mou_max_6_8,std_og_mou_avg_6_8,0.9952514511284147
vol_3g_mb_std_6_8,vol_3g_mb_avg_6_8,0.9946649941033877
max_rech_data_pct_change_6_to_8,max_rech_data_change_6_to_8,0.9920845789351547
std_ic_mou_max_6_8,std_ic_mou_avg_6_8,0.9897491622417767
data_inactive_6,total_data_volume_6,0.9885537530280342
data_inactive_8,total_data_volume_8,0.9882268264759126
data_inactive_7,total_data_volume_7,0.9881470604347313
isd_ic_mou_std_6_8,isd_ic_mou_max_6_8,0.9877857429761736
isd_ic_mou_std_6_8,isd_ic_mou_avg_6_8,0.9859442151496586
isd_og_mou_std_6_8,isd_og_mou_max_6_8,0.985311956200993
roam_ic_mou_std_6_8,roam_ic_mou_max_6_8,0.9851003297524068
isd_og_mou_std_6_8,isd_og_mou_avg_6_8,0.984795909867899
roam_og_mou_std_6_8,roam_og_mou_max_6_8,0.9832454309408089
total_rech_data_max_6_8,total_rech_data_avg_6_8,0.9828020087498329
loc_ic_mou_max_6_8,loc_ic_mou_avg_6_8,0.9824591257124982
roam_ic_mou_std_6_8,roam_ic_mou_avg_6_8,0.981458726147401
loc_og_mou_max_6_8,loc_og_mou_avg_6_8,0.9814324500035647
recharge_amount_avg_6_8,arpu_avg_6_8,0.9795519730653205
roam_og_mou_std_6_8,roam_og_mou_avg_6_8,0.979161740145889
total_rech_data_pct_change_6_to_8,total_rech_data_change_6_to_8,0.9788291920068142
roam_og_mou_pct_change_6_to_8,roam_og_mou_8,0.9782436621623158
total_ic_mou_max_6_8,total_ic_mou_avg_6_8,0.9745112088548573
roam_ic_mou_pct_change_6_to_8,roam_ic_mou_8,0.9735763594873501
isd_og_mou_pct_change_6_to_8,isd_og_mou_8,0.9708611843849562
total_og_mou_max_6_8,total_og_mou_avg_6_8,0.9705709227478843
av_rech_amt_data_pct_change_6_to_8,av_rech_amt_data_change_6_to_8,0.9624824576410091
max_rech_data_max_6_8,max_rech_data_avg_6_8,0.9608978625151522
isd_og_mou_pct_change_7_to_8,isd_og_mou_8,0.9596491890915178
recharge_amount_max_6_8,arpu_max_6_8,0.9581814357136036
av_rech_amt_data_max_6_8,av_rech_amt_data_avg_6_8,0.9581271475111748
data_inactive_7,av_rech_amt_data_7_missing,0.9577199161348166
data_inactive_7,date_of_last_rech_data_7_missing,0.9577199161348166
data_inactive_7,count_rech_2g_7_missing,0.9577199161348166
data_inactive_7,night_pck_user_7_missing,0.9577199161348166
data_inactive_7,total_rech_data_7_missing,0.9577199161348166
data_inactive_7,max_rech_data_7_missing,0.9577199161348166
data_inactive_7,fb_user_7_missing,0.9577199161348166
data_inactive_7,count_rech_3g_7_missing,0.9577199161348166
data_inactive_6,max_rech_data_6_missing,0.9565267749903795
data_inactive_6,night_pck_user_6_missing,0.9565267749903795
data_inactive_6,total_rech_data_6_missing,0.9565267749903795
data_inactive_6,date_of_last_rech_data_6_missing,0.9565267749903795
data_inactive_6,count_rech_3g_6_missing,0.9565267749903795
data_inactive_6,fb_user_6_missing,0.9565267749903795
data_inactive_6,count_rech_2g_6_missing,0.9565267749903795
data_inactive_6,av_rech_amt_data_6_missing,0.9565267749903795
data_inactive_6,vol_2g_mb_6,0.9564333371340994
data_inactive_7,vol_2g_mb_7,0.9564328410563375
data_inactive_8,vol_2g_mb_8,0.9556361186781358
overall_inactive_8,voice_inactive_8,0.9537293204585748
total_data_volume_6,vol_2g_mb_6,0.9520488705946425
total_data_volume_7,vol_2g_mb_7,0.9512709829657477
recharge_count_max_6_8,recharge_count_avg_6_8,0.9508815978039528
total_data_volume_8,vol_2g_mb_8,0.9500009903320555
